Hora/Tiempo,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7
7/11/2023 14:16,"100 (pg90, 26)","95.8 (pg71, 27)","90.1 (pg51, 12)","45.8 (pg51, 17)","45.6 (pg71, 37)","57.6 (pg71, 21)","100 (pg71, 10)"
7/11/2023 14:56,"100 (pg90, 26)","96.1 (pg71, 27)","89 (pg51, 12)","46 (pg51, 17)","45.6 (pg71, 37)","58.2 (pg71, 21)","100 (pg71, 10)"
7/11/2023 15:36,"100 (pg90, 26)","96.3 (pg71, 27)","88.7 (pg51, 12)","30.4 (pg71, 30)","45.6 (pg71, 37)","57.2 (pg71, 21)","100 (pg71, 10)"
7/11/2023 16:16,"100 (pg90, 26)","96.2 (pg71, 27)","88.9 (pg51, 12)","45.4 (pg51, 17)","45.6 (pg71, 37)","56.3 (pg71, 21)","100 (pg51, 21)"
7/11/2023 16:56,"100 (pg90, 26)","94.4 (pg71, 27)","88.9 (pg51, 12)","45.8 (pg51, 17)","45.5 (pg71, 37)","56.5 (pg71, 21)","100 (pg51, 9)"
7/11/2023 17:36,"100 (pg90, 26)","94.3 (pg71, 27)","88.4 (pg51, 12)","45.5 (pg51, 17)","45.4 (pg71, 37)","56.9 (pg71, 21)","100 (pg71, 10)"
7/11/2023 18:16,"100 (pg90, 26)","94.5 (pg71, 27)","88.4 (pg51, 12)","45.8 (pg51, 17)","45.5 (pg71, 37)","56.6 (pg71, 21)","100 (pg71, 10)"
7/11/2023 18:56,0,0,0,0,0,0,0
7/11/2023 19:36,0,0,0,0,0,0,0
7/11/2023 20:22,"1.2 (pg90, 29)","5.7 (pg90, 29)","18.6 (pg90, 29)","1.2 (pg90, 29)","0.6 (pg90, 29)","1.2 (pg90, 29)","0.7 (pg90, 29)"
7/11/2023 20:56,"0.9 (pg90, 29)","6.3 (pg90, 29)","18.6 (pg90, 29)","0.8 (pg90, 29)","0.4 (pg90, 29)","0.7 (pg90, 29)","0.7 (pg90, 29)"
7/11/2023 21:36,"100 (pg90, 26)","91.1 (pg71, 27)","66.6 (pg90, 8)","30.1 (pg71, 30)","46.1 (pg71, 37)","67.2 (pg71, 21)","100 (pg90, 9)"
7/11/2023 22:16,"88.9 (pg31, 5)","92.9 (pg71, 27)","63.6 (pg31, 2)","30.3 (pg71, 30)","45.9 (pg71, 37)","65.8 (pg71, 21)","100 (pg71, 10)"
